[2023-12-09 13:20:46,080: INFO: main: welcome to our custom log ]
[2023-12-09 16:40:09,345: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-12-09 16:40:09,381: INFO: common: yaml file: params.yaml loaded successfully]
[2023-12-09 16:44:47,424: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-12-09 16:44:47,431: INFO: common: yaml file: params.yaml loaded successfully]
[2023-12-09 16:46:41,135: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-12-09 16:46:41,142: INFO: common: yaml file: params.yaml loaded successfully]
[2023-12-09 16:46:41,147: INFO: common: created directory at: artifacts]
[2023-12-09 16:46:41,150: INFO: common: created directory at: artifacts/data_ingestion]
[2023-12-09 16:48:26,350: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-12-09 16:48:26,355: INFO: common: yaml file: params.yaml loaded successfully]
[2023-12-09 16:48:26,360: INFO: common: created directory at: artifacts]
[2023-12-09 16:48:26,363: INFO: common: created directory at: artifacts/data_ingestion]
[2023-12-09 16:48:41,354: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-12-09 16:48:41,360: INFO: common: yaml file: params.yaml loaded successfully]
[2023-12-09 16:48:41,364: INFO: common: created directory at: artifacts]
[2023-12-09 16:48:41,368: INFO: common: created directory at: artifacts/data_ingestion]
[2023-12-09 16:52:12,728: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-12-09 16:52:12,730: INFO: common: yaml file: params.yaml loaded successfully]
[2023-12-09 16:52:12,733: INFO: common: created directory at: artifacts]
[2023-12-09 16:52:12,734: INFO: common: created directory at: artifacts/data_ingestion]
[2023-12-09 16:54:12,114: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-12-09 16:54:12,117: INFO: common: yaml file: params.yaml loaded successfully]
[2023-12-09 16:54:12,119: INFO: common: created directory at: artifacts]
[2023-12-09 16:54:12,120: INFO: common: created directory at: artifacts/data_ingestion]
[2023-12-09 16:55:05,554: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-12-09 16:55:05,556: INFO: common: yaml file: params.yaml loaded successfully]
[2023-12-09 16:55:05,559: INFO: common: created directory at: artifacts]
[2023-12-09 16:55:05,561: INFO: common: created directory at: artifacts/data_ingestion]
[2023-12-09 16:55:05,563: INFO: 986331348: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2023-12-09 16:55:20,888: INFO: 986331348: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2023-12-09 17:20:14,351: INFO: main: >>>>>> stage Data Ingestion Stage started <<<<<<]
[2023-12-09 17:20:14,352: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-12-09 17:20:14,353: INFO: common: yaml file: params.yaml loaded successfully]
[2023-12-09 17:20:14,354: INFO: common: created directory at: artifacts]
[2023-12-09 17:20:14,355: INFO: common: created directory at: artifacts/data_ingestion]
[2023-12-09 17:20:14,356: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2023-12-09 17:20:26,780: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2023-12-09 17:20:27,423: INFO: main: >>>>>> stage Data Ingestion Stage completed <<<<<<

x==========x]
